database_key,simulation_name,binary_type,reference_bibkeys,id_code,id_type,id_mass,id_rest_mass,id_mass_ratio,id_ADM_mass,id_ADM_angularmomentum,id_gw_frequency_Hz,id_gw_frequency_Momega22,id_eos,id_kappa2T,id_Lambda,id_eccentricity,id_mass_starA,id_rest_mass_starA,id_spin_starA,id_LoveNum_kell_starA,id_Lambdaell_starA,id_mass_starB,id_rest_mass_starB,id_spin_starB,id_LoveNum_kell_starB,id_Lambdaell_starB,evolution_code,grid_refinement_levels,grid_refinement_levels_moving,grid_refinement_levels_npoints,grid_refinement_levels_moving_npoints,grid_spacing_min,grid_symmetries,grid_shells,grid_shells_radial_npoints,grid_shells_angular_npoints,grid_conservative_amr,subgrid_model,metric_scheme,metric_boundary_conditions,hydro_flux,hydro_reconstruction,hydro_atmosphere_level,hydro_atmosphere_factor,number_of_orbits,evolution_mol_scheme,eos_evolution_Gamma_thermal,neutrino_scheme,available_resolutions,NR_simulation_key,id_gw_NR_frequency_Hz,Hybrid_window_freq_Hz,TEOB_Lambda_starA,TEOB_Lambda_starB,TEOB_version,available_runs,id_eccentricity_3PN
THC:0095:R01,SLy4_1.452_1.283_0.00_0.00_0.048_M0_0.125,BNS,Nedora:2020hxc,LORENE,Irrotational,2.735,3.0694107482963835,1.42,2.70956,7.3966,569.17,0.048178750341332295,SLy4,67.73858720824484,360.7335808059667,,1.452,1.6409518539341208,"0,0,0","0.07338773292319575,0.018603585292498805,0.006399171399458305","236.88057367025712,357.7103556943615,523.5515618244189",1.283,1.428458894362263,"0,0,0","0.08581573333485028,0.022547143783567383,0.008053804844163888","534.9107871309335,1089.3269464238792,2154.229917793403",THC,7,,,,0.125,bitant,no,,,yes,,Z4c,flat,HLLE,MP5,1e-14,0.0,5.576492392392613,RK3,,M0,,,,,,,,,
BAM:0155:R01,H4_1.740_1.264_0.61_0.32_0.025_R01,BNS,Schianchi:2024vvi,SGRID,CRV,3.00433,3.31078,1.3759861948537553,2.975662,9.44874,546.4577759516724,0.05080818,H4,116.0996,608.9060258287774,0.01645506976163175,1.739874,1.94471,"-2.970130156327211e-13, 1.427242235036788e-11, 0.6109676622672553","0.07526178, 0.02009046, 0.007251055","183.97866659122312, 261.7740269489501, 359.71084260034814",1.264456,1.36607,"-7.330211055319217e-13, -6.686327073215106e-13, 0.32103016871410306","0.1227653, 0.03644214, 0.01473458","1635.4967776475498, 5098.871418147198, 15465.929921352188",BAM14,6,2,192,96,12.287999999999998,box bitant,no,,,yes,no,Z4c,background radcentered,HO_LLF,WENOZ,1e-11,100.0,4.952745292308354,RK4,1.75,no,,,,,,,,,
BAM:0083:R01,MS1b_1.500_1.000_0.00_0.00_0.0305_0.25_eccentric4,BNS,Dietrich:2017feu,SGRID,CRV,2.500017e+00,2.709668e+00,1.500014e+00,2.481950e+00,6.563472e+00,3.939763e+02,3.048193e-02,MS1b,4.579202e+02,2.425546e+03,4.818549e-02,1.500016e+00,1.646624e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","1.218700e-01, 3.531000e-02, 1.388000e-02","8.637767e+02, 2.042071e+03, 4.678459e+03",1.000001e+00,1.063044e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","1.589000e-01, 4.944000e-02, 2.092000e-02","7.022366e+03, 3.707220e+04, 1.901139e+05",bam_14.07,7,4,128,72,2.500000e-01,bitant,yes,128,64,yes,,Z4c,background,LLF,WENOZ,1.000000e-11,1.000000e+02,10.6894905556,RungeKutta4,1.75,,,,,,,,,,
THC:0093:R01,SLy4_1.364_1.364_0.00_0.00_0.024_M0_0.125,BNS,Nedora:2020hxc,LORENE,Irrotational,2.728,3.0587775667740837,1.0,2.703,7.399,282.53,0.02385421530416646,SLy4,67.72207617470337,361.18440626508465,,1.364,1.5293887833870419,"0,0,0","0.08004225267396532,0.020699947690852226,0.007271991987259579","361.18440626508465,636.2229222057189,1087.4161907794696",1.364,1.5293887833870419,"0,0,0","0.08004225267396532,0.020699947690852226,0.007271991987259579","361.18440626508465,636.2229222057189,1087.4161907794696",THC,7,,,,0.125,bitant,no,,,yes,,Z4c,flat,HLLE,MP5,1e-14,0.0,5.138261436643355,RK3,,M0,,,,,,,,,
BAM:0133:R01,MS1b_1.400_1.370_w00560w00150_0.037_R01,BNS,,Sgrid,CRV,2.770043019415313,3.0180001727243493,1.0218838711317686,2.748212054293227,8.4285802184298,429.7572618732669,0.03684392903336721,MS1b,250.43284748399952,1335.6418532479975,,1.4000122975891602,1.5268000844289937,"0, 0, 2.669348e-01","0.1299125, 0.03831289, 0.01533252","1260.0724089424787, 3437.587794284715, 9089.891809438619",1.370030721826153,1.49120008829535533,"0, 0, 8.158051e-02","0.1323258, 0.03922755, 0.01577504","1415.7039339501364, 4037.5392640322366, 11157.468543872266",BAM,6,2,96,192,0.166,,,,,,,,,HO_LLF,WENOZ,1e-11,1e2,,,,,,,,,,,,,
THC:0056:R01,BLQ_1.300_1.300_0.00_0.00_0.053_M0_0.125,BNS,Prakash:2021wpz,LORENE,Irrotational,2.6,2.8479450838420854,1.0,2.57328,6.5673,326.533,0.05255168206096093,BLQ,127.27486461547898,678.7992779492212,,1.3,1.4239725419210427,"0,0,0","0.09091091626903403,0.024556576595027982,0.009035525688690508","678.799277949221,1527.600503715052,3344.9065889000167",1.3,1.4239725419210427,"0,0,0","0.09091091626903403,0.024556576595027982,0.009035525688690508","678.799277949221,1527.600503715052,3344.9065889000167",THC,7,,,,0.125,bitant,no,,,yes,none,Z4c,flat,HLLE,MP5,1e-14,0.0,3.6110125061002285,RK3,,M0,,,,,,,,,
BAM:0008:R01,ALF2_1.375_1.375_0.10_0.10_0.0360_0.167,BNS,Dietrich:2016lyp,SGRID,CRV,2.751032e+00,3.036304e+00,1.000000e+00,2.729319e+00,8.481071e+00,4.228207e+02,3.599824e-02,ALF2,1.234024e+02,6.581463e+02,9.0218766e-03,1.375516e+00,1.518152e+00,"-2.681943e-11, -1.000746e-12, 1.935547e-01","1.179800e-01, 3.364000e-02, 1.295000e-02","6.581463e+02, 1.391369e+03, 2.836613e+03",1.375516e+00,1.518152e+00,"-2.681943e-11, -1.000746e-12, 1.935547e-01","1.179800e-01, 3.364000e-02, 1.295000e-02","6.581463e+02, 1.391369e+03, 2.836613e+03",bam_14.07,7,4,192,96,1.666667e-01,bitant,yes,192,96,yes,,Z4c,background,LLF,WENOZ,1.000000e-11,1.000000e+02,13.2524580971,RungeKutta4,1.75,,,,,,,,,,
THC:0001:R01,BHBlp_1.250_1.250_0.00_0.00_0.050_0.125,BNS,Radice:2016rys Radice:2017lry,LORENE,Irrotational,2.5,2.70598,1.0,2.47564,6.16715,644.684,0.0498819129216,BHBlp,242.86873383835237,1295.299913804546,,1.25,1.35299,"0, 0, 0","0.10517, 0.02864, 0.01061","1295.2999138045457, 3590.1232699912975, 9669.000432709556",1.25,1.35299,"0, 0, 0","0.10517, 0.02864, 0.01061","1295.2999138045457, 3590.1232699912975, 9669.000432709556",THC,7,,,,0.125,bitant,no,,,yes,,Z4c,,HLLE,MP5,1.000000e-14,0.000000,3.615238e+00,RK3,,Leakage,,,,,,,,,
BAM:0012:R01,ALF2_1.528_1.222_0.00_0.00_0.0357_0.167,BNS,Dietrich:2016hky,SGRID,CRV,2.750021e+00,3.041081e+00,1.250001e+00,2.728212e+00,7.955561e+00,4.199074e+02,3.573707e-02,ALF2,1.262444e+02,6.708852e+02,1.024971e-02,1.527790e+00,1.707041e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","1.010700e-01, 2.795000e-02, 1.041000e-02","3.386302e+02, 5.662303e+02, 9.108394e+02",1.222231e+00,1.334040e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","1.334500e-01, 3.903000e-02, 1.546000e-02","1.279917e+03, 3.447257e+03, 8.981905e+03",bam_14.07,7,4,192,96,1.666667e-01,bitant,yes,192,96,yes,,Z4c,background,LLF,WENOZ,1.000000e-11,1.000000e+02,11.855260725,RungeKutta4,1.75,,,,,,,,,,
BAM:0001:R01,2B_1.350_1.350_0.00_0.00_0.038_0.093,BNS,Bernuzzi:2014owa,LORENE,Irrotational,2.699952e+00,3.050133e+00,1.000000e+00,2.677624e+00,7.662564e+00,4.545056e+02,3.797735e-02,2B,2.376117e+01,1.267263e+02,7.092541e-03,1.349976e+00,1.525067e+00,"0, 0, 0","6.899000e-02, 1.746000e-02, 5.990000e-03","1.267263e+02, 1.524837e+02, 1.776546e+02",1.349976e+00,1.525067e+00,"0, 0, 0","6.899000e-02, 1.746000e-02, 5.990000e-03","1.267263e+02, 1.524837e+02, 1.776546e+02",bam_12.04,7,4,256,128,9.300000e-02,bitant,yes,256,112,no,,Z4c,background,LLF,WENOZ,1.000000e-11,1.000000e+02,12.0897198294,RungeKutta4,1.75,,,,,,,,,,
BAM:0114:R01,SLy_1.358_1.358_0.00_0.00_0.0116_0.088_ecc_0.60,BNS,-,SGRID,CRV,2.715174e+00,3.008000e+00,1,2.701945e+00,8.048717e+00,1.376874e+02,1.156968e-02,SLy,7.038804e+01,3.754029e+02,,1.357587e+00,1.504000e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","9.237000e-02, 2.523000e-02, 9.370000e-03","3.754029e+02, 6.697876e+02, 1.160605e+03",1.357587e+00,1.504000e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","9.237000e-02, 2.523000e-02, 9.370000e-03","3.754029e+02, 6.697876e+02, 1.160605e+03",bam_14.07,9,3,320,160,8.760000e-02,bitant,no,NAN,NAN,yes,,Z4c,radiative,LLF,WENOZ,1.000000e-14,1.000000e+02,6.5,RungeKutta4,1.75,,,,,,,,,,
BAM:0063:R01,MS1b_1.350_1.350_0.00_0.00_0.035_0.194,BNS,Bernuzzi:2014owa,LORENE,Irrotational,2.700013e+00,2.935012e+00,1.000000e+00,2.678744e+00,7.826420e+00,4.184838e+02,3.496825e-02,MS1b,2.871624e+02,1.531533e+03,7.776575e-03,1.350006e+00,1.467506e+00,"0, 0, 0","1.337600e-01, 3.975000e-02, 1.603000e-02","1.531533e+03, 4.499079e+03, 1.281087e+04",1.350006e+00,1.467506e+00,"0, 0, 0","1.337600e-01, 3.975000e-02, 1.603000e-02","1.531533e+03, 4.499079e+03, 1.281087e+04",bam_12.04,7,4,192,96,1.940000e-01,bitant,yes,192,84,no,,Z4c,background,LLF,WENOZ,1.000000e-11,1.000000e+02,11.1462254535,RungeKutta4,1.75,,,,,,,,,,
THC:0065:R01,BLh_1.699_1.104_0.00_0.00_0.050_M0_LK_0.167,BNS,Nedora:2020hxc,LORENE,Irrotational,2.803,3.280217384716698,1.538949e+00,2.778,7.398,570.83,0.04952062149238297,BLh,59.03784726270203,312.44409311150537,,1.699,1.933453462573688,"0,0,0","0.05996284602870876,0.014714187099183745,0.004890055368270033","104.11974759138984,118.77197818573944,131.06607788868374",1.104,1.34676392214301,"0,0,0","0.0961208360918839,0.0263058655899617,0.00981172377128218","969.638992052257,2493.6106284135367,6242.762787302164",THC,7,,,,0.167,bitant,no,,,yes,LK,Z4c,flat,HLLE,MP5,1e-14,0.0,4.142160475132096,RK3,,M0,,,,,,,,,
BAM:0149:R01,H4_1.501_1.501_0.23_0.23_0.025_R01,BNS,Schianchi:2024vvi,SGRID,CRV,3.001078,3.29892,1.0,2.97142,9.222151,547.5983926272871,0.05085912,H4,106.3564,566.0813686118915,0.015988215148962304,1.500539,1.64946,"-1.1146263117959913e-12, -1.00390902992135e-12, 0.2291567720306033","0.1010045, 0.02864669, 0.01103782","566.0813686118914, 1192.598725855345, 2438.130340867004",1.500539,1.64946,"-1.1146263117959913e-12, -1.00390902992135e-12, 0.2291567720306033","0.1010045, 0.0286467, 0.01103782","566.0813686118914, 1192.5991421682686, 2438.130340867004",BAM14,6,2,192,96,12.287999999999998,box bitant,no,,,yes,no,Z4c,background radcentered,HO_LLF,WENOZ,1e-11,100.0,5.0224881506496235,RK4,1.75,no,,,,,,,,,
